epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1657.02,0.78341,0.63931,1.06147,0.88646,0.75976,0.85195,0.60965,1.05297,0.74818,1.14376,0.000299713,0.000299713,0.000299713
99,1673.63,0.77396,0.62486,1.06093,0.88029,0.75823,0.8461,0.6105,1.03475,0.74209,1.1438,0.000294216,0.000294216,0.000294216
100,1690.12,0.7819,0.62542,1.05983,0.82938,0.77324,0.84279,0.60491,1.03046,0.74857,1.14408,0.000288718,0.000288718,0.000288718
101,1706.75,0.77638,0.62996,1.06016,0.88502,0.73845,0.84667,0.59629,1.04483,0.75385,1.15007,0.00028322,0.00028322,0.00028322
102,1723.14,0.76971,0.61558,1.05889,0.86807,0.77542,0.83636,0.59889,1.05747,0.76076,1.15676,0.000277722,0.000277722,0.000277722
103,1741.16,0.76888,0.62065,1.06058,0.8476,0.75571,0.82628,0.59262,1.04287,0.76798,1.14554,0.000272224,0.000272224,0.000272224
104,1758.54,0.76741,0.61131,1.0572,0.88133,0.76057,0.8402,0.60214,1.05929,0.76372,1.16269,0.000266727,0.000266727,0.000266727
105,1775.56,0.76297,0.62142,1.05313,0.83779,0.76427,0.83751,0.603,1.05703,0.76646,1.15702,0.000261229,0.000261229,0.000261229
106,1792.36,0.75465,0.61992,1.05542,0.85625,0.77767,0.83911,0.60482,1.04874,0.76511,1.14455,0.000255731,0.000255731,0.000255731
107,1809.22,0.76737,0.61752,1.05432,0.85727,0.73492,0.82175,0.59384,1.04857,0.79669,1.14412,0.000250233,0.000250233,0.000250233
108,1823.5,0.7482,0.60052,1.05388,0.85323,0.76555,0.83367,0.59875,1.05309,0.76176,1.16213,0.000244735,0.000244735,0.000244735
109,1840.69,0.74985,0.59192,1.04519,0.88506,0.75629,0.84066,0.60104,1.05209,0.74218,1.16148,0.000239238,0.000239238,0.000239238
110,1858.21,0.76312,0.60736,1.05001,0.87997,0.74637,0.83494,0.59497,1.04714,0.76311,1.15384,0.00023374,0.00023374,0.00023374
111,1873.94,0.75465,0.60412,1.0513,0.87254,0.76258,0.83208,0.59614,1.06004,0.76527,1.15636,0.000228242,0.000228242,0.000228242
112,1887.61,0.74835,0.59488,1.04747,0.86597,0.74658,0.83307,0.59866,1.06898,0.77473,1.16557,0.000222744,0.000222744,0.000222744
113,1901.01,0.73847,0.5778,1.04693,0.84017,0.75308,0.82468,0.59798,1.06237,0.75956,1.15811,0.000217246,0.000217246,0.000217246
114,1914.64,0.73993,0.5858,1.04303,0.80522,0.78102,0.81636,0.59051,1.05527,0.79232,1.13968,0.000211749,0.000211749,0.000211749
115,1930.2,0.7364,0.57948,1.0392,0.84361,0.7597,0.82752,0.60134,1.04728,0.76435,1.14742,0.000206251,0.000206251,0.000206251
116,1947.43,0.74181,0.58066,1.04062,0.85735,0.76573,0.83275,0.59912,1.05253,0.74784,1.14622,0.000200753,0.000200753,0.000200753
117,1966.07,0.74209,0.57875,1.04601,0.83166,0.76923,0.82681,0.60099,1.04359,0.76888,1.14643,0.000195255,0.000195255,0.000195255
