                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.93878,                0.92595,                 1.1672,                0.85374,                0.71001,                0.79822,                0.56044,                  1.122,                0.83369,                 1.1151,               0.004258,               0.004258,               0.004258
                     89,                0.94748,                0.91714,                 1.1678,                0.84054,                0.72513,                0.80135,                0.56358,                 1.1131,                0.83332,                 1.1107,               0.004192,               0.004192,               0.004192
                     90,                0.94832,                0.91704,                 1.1682,                0.82752,                0.73207,                0.80359,                0.56724,                 1.1089,                0.82581,                 1.1147,               0.004126,               0.004126,               0.004126
                     91,                0.93403,                0.90522,                 1.1628,                0.85163,                0.71956,                0.80406,                0.56429,                 1.1154,                0.83146,                 1.1174,                0.00406,                0.00406,                0.00406
                     92,                0.94142,                0.90764,                  1.167,                0.81896,                0.74324,                0.80526,                0.56776,                 1.1083,                0.82792,                 1.1121,               0.003994,               0.003994,               0.003994
                     93,                0.93594,                0.90765,                 1.1653,                0.83345,                0.72779,                0.80331,                0.56786,                 1.1026,                0.82619,                 1.1097,               0.003928,               0.003928,               0.003928
                     94,                 0.9335,                0.89264,                 1.1634,                0.84719,                0.71844,                0.80372,                0.56695,                 1.1055,                0.82709,                 1.1109,               0.003862,               0.003862,               0.003862
                     95,                0.93217,                0.89565,                 1.1652,                0.85188,                0.72021,                0.80077,                0.56486,                 1.1095,                0.82758,                 1.1153,               0.003796,               0.003796,               0.003796
                     96,                0.93511,                0.88349,                  1.161,                0.85028,                0.73117,                 0.8056,                0.56614,                 1.1079,                0.83226,                 1.1156,                0.00373,                0.00373,                0.00373
                     97,                0.92274,                0.87884,                 1.1542,                0.85658,                0.73286,                0.80539,                0.56882,                  1.102,                0.83792,                 1.1122,               0.003664,               0.003664,               0.003664
                     98,                0.91698,                0.86723,                 1.1558,                0.85781,                0.72922,                0.80539,                0.56985,                 1.1009,                0.83044,                 1.1112,               0.003598,               0.003598,               0.003598
                     99,                0.90901,                0.87194,                 1.1498,                0.85588,                0.73287,                0.80882,                0.57207,                 1.1038,                0.82999,                 1.1118,               0.003532,               0.003532,               0.003532
                    100,                0.91627,                 0.8739,                 1.1504,                0.87084,                0.71743,                0.80965,                0.57127,                 1.1078,                0.83088,                 1.1124,               0.003466,               0.003466,               0.003466
                    101,                0.91525,                0.87554,                 1.1535,                0.86492,                0.72254,                0.80643,                0.56534,                 1.1102,                0.82989,                 1.1116,                 0.0034,                 0.0034,                 0.0034
                    102,                0.91133,                 0.8686,                 1.1498,                0.86968,                0.71492,                0.80385,                 0.5648,                 1.1139,                0.83141,                 1.1126,               0.003334,               0.003334,               0.003334
                    103,                0.90536,                0.85991,                  1.148,                0.84064,                0.73381,                0.80231,                 0.5638,                 1.1159,                0.83032,                 1.1155,               0.003268,               0.003268,               0.003268
